SensorID,HitCount,PositionX,PositionY,PositionZ
1,50,61.1111,111.667,71.5556
2,63,61.1111,111.667,107.333
3,74,61.1111,111.667,143.111
4,136,61.1111,111.667,178.889
5,63,61.1111,111.667,214.667
6,59,61.1111,111.667,250.444
7,50,61.1111,111.667,286.222
9,51,61.1111,223.333,71.5556
10,65,61.1111,223.333,107.333
11,61,61.1111,223.333,143.111
12,66,61.1111,223.333,178.889
13,53,61.1111,223.333,214.667
14,76,61.1111,223.333,250.444
15,96,61.1111,223.333,286.222
17,80,61.1111,335,71.5556
18,87,61.1111,335,107.333
19,102,61.1111,335,143.111
20,46,61.1111,335,178.889
21,73,61.1111,335,214.667
22,54,61.1111,335,250.444
23,74,61.1111,335,286.222
25,116,61.1111,446.667,71.5556
26,58,61.1111,446.667,107.333
27,97,61.1111,446.667,143.111
28,98,61.1111,446.667,178.889
29,110,61.1111,446.667,214.667
30,49,61.1111,446.667,250.444
31,82,61.1111,446.667,286.222
33,132,61.1111,558.333,71.5556
34,92,61.1111,558.333,107.333
35,100,61.1111,558.333,143.111
36,139,61.1111,558.333,178.889
37,152,61.1111,558.333,214.667
38,154,61.1111,558.333,250.444
39,92,61.1111,558.333,286.222
41,90,61.1111,670,71.5556
42,232,61.1111,670,107.333
43,238,61.1111,670,143.111
44,188,61.1111,670,178.889
45,137,61.1111,670,214.667
46,195,61.1111,670,250.444
47,93,61.1111,670,286.222
49,341,61.1111,781.667,71.5556
50,203,61.1111,781.667,107.333
51,224,61.1111,781.667,143.111
52,187,61.1111,781.667,178.889
53,277,61.1111,781.667,214.667
54,210,61.1111,781.667,250.444
55,218,61.1111,781.667,286.222
57,334,61.1111,893.333,71.5556
58,318,61.1111,893.333,107.333
59,406,61.1111,893.333,143.111
60,405,61.1111,893.333,178.889
61,400,61.1111,893.333,214.667
62,262,61.1111,893.333,250.444
63,326,61.1111,893.333,286.222
65,32,122.222,111.667,71.5556
66,52,122.222,111.667,107.333
67,25,122.222,111.667,143.111
68,70,122.222,111.667,178.889
69,37,122.222,111.667,214.667
70,72,122.222,111.667,250.444
71,51,122.222,111.667,286.222
73,60,122.222,223.333,71.5556
74,15,122.222,223.333,107.333
75,85,122.222,223.333,143.111
76,77,122.222,223.333,178.889
77,74,122.222,223.333,214.667
78,75,122.222,223.333,250.444
79,23,122.222,223.333,286.222
81,128,122.222,335,71.5556
82,76,122.222,335,107.333
83,135,122.222,335,143.111
84,70,122.222,335,178.889
85,51,122.222,335,214.667
86,77,122.222,335,250.444
87,95,122.222,335,286.222
89,99,122.222,446.667,71.5556
90,111,122.222,446.667,107.333
91,112,122.222,446.667,143.111
92,128,122.222,446.667,178.889
93,56,122.222,446.667,214.667
94,110,122.222,446.667,250.444
95,113,122.222,446.667,286.222
97,99,122.222,558.333,71.5556
98,217,122.222,558.333,107.333
99,179,122.222,558.333,143.111
100,116,122.222,558.333,178.889
101,73,122.222,558.333,214.667
102,80,122.222,558.333,250.444
103,92,122.222,558.333,286.222
105,170,122.222,670,71.5556
106,102,122.222,670,107.333
107,214,122.222,670,143.111
108,151,122.222,670,178.889
109,187,122.222,670,214.667
110,97,122.222,670,250.444
111,180,122.222,670,286.222
113,288,122.222,781.667,71.5556
114,234,122.222,781.667,107.333
115,380,122.222,781.667,143.111
116,252,122.222,781.667,178.889
117,258,122.222,781.667,214.667
118,275,122.222,781.667,250.444
119,192,122.222,781.667,286.222
121,393,122.222,893.333,71.5556
122,507,122.222,893.333,107.333
123,534,122.222,893.333,143.111
124,453,122.222,893.333,178.889
125,437,122.222,893.333,214.667
126,476,122.222,893.333,250.444
127,329,122.222,893.333,286.222
129,20,183.333,111.667,71.5556
130,24,183.333,111.667,107.333
131,40,183.333,111.667,143.111
132,17,183.333,111.667,178.889
133,37,183.333,111.667,214.667
134,28,183.333,111.667,250.444
135,38,183.333,111.667,286.222
137,66,183.333,223.333,71.5556
138,65,183.333,223.333,107.333
139,59,183.333,223.333,143.111
140,105,183.333,223.333,178.889
141,45,183.333,223.333,214.667
142,31,183.333,223.333,250.444
143,54,183.333,223.333,286.222
145,53,183.333,335,71.5556
146,121,183.333,335,107.333
147,87,183.333,335,143.111
148,80,183.333,335,178.889
149,75,183.333,335,214.667
150,47,183.333,335,250.444
151,61,183.333,335,286.222
153,140,183.333,446.667,71.5556
154,75,183.333,446.667,107.333
155,110,183.333,446.667,143.111
156,107,183.333,446.667,178.889
157,146,183.333,446.667,214.667
158,143,183.333,446.667,250.444
159,110,183.333,446.667,286.222
161,158,183.333,558.333,71.5556
162,178,183.333,558.333,107.333
163,146,183.333,558.333,143.111
164,119,183.333,558.333,178.889
165,134,183.333,558.333,214.667
166,175,183.333,558.333,250.444
167,127,183.333,558.333,286.222
169,218,183.333,670,71.5556
170,173,183.333,670,107.333
171,187,183.333,670,143.111
172,164,183.333,670,178.889
173,135,183.333,670,214.667
174,184,183.333,670,250.444
175,254,183.333,670,286.222
177,230,183.333,781.667,71.5556
178,260,183.333,781.667,107.333
179,367,183.333,781.667,143.111
180,305,183.333,781.667,178.889
181,246,183.333,781.667,214.667
182,208,183.333,781.667,250.444
183,205,183.333,781.667,286.222
185,486,183.333,893.333,71.5556
186,535,183.333,893.333,107.333
187,644,183.333,893.333,143.111
188,725,183.333,893.333,178.889
189,527,183.333,893.333,214.667
190,636,183.333,893.333,250.444
