SensorID,Radiation,PositionX,PositionY,PositionZ
1,4.0445e-17,61.1111,111.667,71.5556
2,6.35941e-17,61.1111,111.667,107.333
3,4.47039e-17,61.1111,111.667,143.111
4,7.27327e-17,61.1111,111.667,178.889
5,2.95464e-17,61.1111,111.667,214.667
6,2.60981e-17,61.1111,111.667,250.444
7,3.90695e-17,61.1111,111.667,286.222
9,1.71212e-17,61.1111,223.333,71.5556
10,5.81235e-17,61.1111,223.333,107.333
11,3.08726e-17,61.1111,223.333,143.111
12,5.58249e-17,61.1111,223.333,178.889
13,5.08145e-17,61.1111,223.333,214.667
14,5.55561e-17,61.1111,223.333,250.444
15,6.39396e-17,61.1111,223.333,286.222
17,1.42915e-17,61.1111,335,71.5556
18,7.61473e-17,61.1111,335,107.333
19,4.51034e-17,61.1111,335,143.111
20,2.23843e-17,61.1111,335,178.889
21,2.80274e-17,61.1111,335,214.667
22,4.03596e-17,61.1111,335,250.444
23,2.41356e-17,61.1111,335,286.222
25,1.25916e-16,61.1111,446.667,71.5556
26,3.52789e-17,61.1111,446.667,107.333
27,4.37871e-17,61.1111,446.667,143.111
28,6.55832e-17,61.1111,446.667,178.889
29,9.93531e-17,61.1111,446.667,214.667
30,5.54268e-17,61.1111,446.667,250.444
31,5.47109e-17,61.1111,446.667,286.222
33,7.04982e-17,61.1111,558.333,71.5556
34,5.46601e-17,61.1111,558.333,107.333
35,5.3403e-17,61.1111,558.333,143.111
36,8.03525e-17,61.1111,558.333,178.889
37,8.91237e-17,61.1111,558.333,214.667
38,1.30306e-16,61.1111,558.333,250.444
39,5.44491e-17,61.1111,558.333,286.222
41,5.7998e-17,61.1111,670,71.5556
42,2.00401e-16,61.1111,670,107.333
43,1.48089e-16,61.1111,670,143.111
44,1.79955e-16,61.1111,670,178.889
45,6.08607e-17,61.1111,670,214.667
46,1.27176e-16,61.1111,670,250.444
47,7.37023e-17,61.1111,670,286.222
49,2.94099e-16,61.1111,781.667,71.5556
50,1.90721e-16,61.1111,781.667,107.333
51,1.64385e-16,61.1111,781.667,143.111
52,1.29711e-16,61.1111,781.667,178.889
53,1.62244e-16,61.1111,781.667,214.667
54,1.84504e-16,61.1111,781.667,250.444
55,1.12722e-16,61.1111,781.667,286.222
57,2.54633e-16,61.1111,893.333,71.5556
58,2.47745e-16,61.1111,893.333,107.333
59,3.11542e-16,61.1111,893.333,143.111
60,3.94758e-16,61.1111,893.333,178.889
61,3.92272e-16,61.1111,893.333,214.667
62,2.23012e-16,61.1111,893.333,250.444
63,3.20375e-16,61.1111,893.333,286.222
65,1.15651e-17,122.222,111.667,71.5556
66,7.0173e-17,122.222,111.667,107.333
67,2.25452e-17,122.222,111.667,143.111
68,3.76565e-17,122.222,111.667,178.889
69,1.5912e-17,122.222,111.667,214.667
70,4.46587e-17,122.222,111.667,250.444
71,3.83231e-17,122.222,111.667,286.222
73,1.29024e-17,122.222,223.333,71.5556
74,3.83212e-18,122.222,223.333,107.333
75,4.90205e-17,122.222,223.333,143.111
76,5.1187e-17,122.222,223.333,178.889
77,5.06759e-17,122.222,223.333,214.667
78,1.98489e-17,122.222,223.333,250.444
79,3.6273e-17,122.222,223.333,286.222
81,1.17946e-16,122.222,335,71.5556
82,3.85083e-17,122.222,335,107.333
83,5.34636e-17,122.222,335,143.111
84,2.13924e-17,122.222,335,178.889
85,2.10591e-17,122.222,335,214.667
86,9.28521e-17,122.222,335,250.444
87,5.81997e-17,122.222,335,286.222
89,4.69267e-17,122.222,446.667,71.5556
90,1.24523e-16,122.222,446.667,107.333
