SensorID,Radiation,PositionX,PositionY,PositionZ
1, 235, 162, 229, 90
2, 325, 362, 229, 90
3, 310, 162, 279, 90
4, 700, 362, 279, 90
5, 360, 162, 329, 90
6, 680, 362, 329, 90
7, 485, 162, 379, 90
8, 890, 362, 379, 90
9, 1630, 162, 529, 90
10, 1640, 362, 529, 90
11, 2010, 162, 579, 90
12, 1705, 362, 579, 90
13, 1720, 162, 629, 90
14, 1870, 362, 629, 90
15, 1510, 162, 679, 90
16, 1860, 362, 679, 90
17, 1465, 162, 729, 90
18, 1620, 362, 729, 90
19, 1665, 162, 829, 90
20, 1770, 362, 829, 90
21, 1660, 162, 929, 90
22, 1775, 362, 929, 90
23, 235, 162, 229, 192
24, 325, 362, 229, 192
25, 310, 162, 279, 192
26, 700, 362, 279, 192
27, 360, 162, 329, 192
28, 680, 362, 329, 192
29, 485, 162, 379, 192
30, 890, 362, 379, 192
31, 1630, 162, 529, 192
32, 1640, 362, 529, 192
33, 2010, 162, 579, 192
34, 1705, 362, 579, 192
35, 1720, 162, 629, 192
36, 1870, 362, 629, 192
37, 1510, 162, 679, 192
38, 1860, 362, 679, 192
